lon,lat,t2m,tipo,distancia,acum_distancia,topo
-70.59248352050781,-15.255416870117188,9.155783653259277,1,1.9394683837890625,200.63096686092413,4142.611328125
-70.59248352050781,-15.273048400878906,7.950444221496582,1,1.9394683837890625,202.5704352447132,4286.60546875
-70.59248352050781,-15.290679931640625,7.129061222076416,1,1.9394683837890625,204.50990362850226,4388.00390625
-70.59248352050781,-15.308296203613281,6.5502800941467285,1,1.9377899169921875,206.44769354549445,4455.91943359375
-70.59248352050781,-15.325927734375,6.1126909255981445,1,1.9394683837890625,208.3871619292835,4514.01904296875
-70.59248352050781,-15.343551635742188,6.231100559234619,1,1.938629150390625,210.32579107967413,4492.82763671875
-70.59248352050781,-15.361175537109375,4.802158355712891,1,1.938629150390625,212.26442023006476,4662.8798828125
-70.59248352050781,-15.3787841796875,4.191357612609863,1,1.93695068359375,214.2013709136585,4729.28173828125
-70.59248352050781,-15.396408081054688,2.4543046951293945,1,1.938629150390625,216.14000006404913,4923.2373046875
-70.59248352050781,-15.414024353027344,3.7416720390319824,1,1.9377899169921875,218.07778998104132,4765.181640625
-70.59248352050781,-15.431640625,5.518959999084473,1,1.9377899169921875,220.0155798980335,4557.8505859375
-70.59248352050781,-15.449256896972656,6.112496376037598,1,1.9377899169921875,221.9533698150257,4489.06103515625
-70.59248352050781,-15.466865539550781,5.182559967041016,1,1.93695068359375,223.89032049861945,4599.857421875
-70.59248352050781,-15.484474182128906,5.134228229522705,1,1.93695068359375,225.8272711822132,4609.88232421875
-70.59248352050781,-15.502082824707031,6.176301002502441,1,1.93695068359375,227.76422186580695,4471.794921875
-70.59248352050781,-15.519691467285156,5.489508152008057,1,1.93695068359375,229.7011725494007,4568.380859375
-70.59248352050781,-15.537300109863281,4.6236090660095215,1,1.93695068359375,231.63812323299445,4671.47607421875
-70.59248352050781,-15.554901123046875,4.216485023498535,1,1.9361114501953125,233.57423468318976,4708.6318359375
-70.59248352050781,-15.572509765625,3.7423572540283203,1,1.93695068359375,235.5111853667835,4757.650390625
-70.59248352050781,-15.590110778808594,4.131584644317627,1,1.9361114501953125,237.44729681697882,4712.681640625
-70.59248352050781,-15.607711791992188,5.958441257476807,1,1.9361114501953125,239.38340826717413,4481.771484375
-70.59248352050781,-15.625312805175781,6.955344200134277,1,1.9361114501953125,241.31951971736945,4353.7109375
-70.59248352050781,-15.642913818359375,8.811748504638672,1,1.9361114501953125,243.25563116756476,4110.15966796875
-70.59248352050781,-15.660507202148438,9.207439422607422,1,1.935272216796875,245.19090338436163,4062.981201171875
-70.59248352050781,-15.678108215332031,9.315753936767578,1,1.9361114501953125,247.12701483455695,4061.71337890625
-70.5992722222222,-15.694075,10.3045454545455,0,1.908506922062893,249.03552175661983,4117.2333984375
-70.59248352050781,-15.695693969726562,8.819375038146973,1,0.7676986131961057,249.80322036981593,4117.2333984375
-70.5992722222222,-15.694075,10.3045454545455,0,0.7676986131961057,250.57091898301204,4117.2333984375
-70.59248352050781,-15.695693969726562,8.819375038146973,1,0.7676986131961057,251.33861759620814,4117.2333984375
-70.57420349121094,-15.695693969726562,8.540810585021973,1,2.01080322265625,253.3494208188644,4147.5244140625
-70.5559310913086,-15.713279724121094,6.850165843963623,1,2.789621158037944,256.1390419769023,4354.48583984375
-70.53765869140625,-15.713279724121094,7.267335891723633,1,2.0099639892578125,258.14900596616013,4319.6259765625
-70.5193862915039,-15.730873107910156,9.228404998779297,1,2.790203180992214,260.9392091471523,4104.5380859375
-70.50111389160156,-15.730873107910156,7.608810901641846,1,2.0099639892578125,262.94917313641014,4285.77587890625
-70.4462890625,-15.748466491699219,5.498717784881592,1,6.33364013612187,269.282813272532,4540.091796875
-70.46456146240234,-15.748466491699219,7.214698791503906,1,2.0099639892578125,271.2927772617898,4326.70703125
-70.48284149169922,-15.748466491699219,6.070918083190918,1,2.01080322265625,273.30358048444606,4474.07666015625
-70.42801666259766,-15.76605224609375,4.57509708404541,1,6.33338375499604,279.6369642394421,4648.8759765625
-70.40974426269531,-15.76605224609375,6.69303560256958,1,2.0099639892578125,281.6469282286999,4393.8798828125
-70.39147186279297,-15.783638000488281,9.687091827392578,1,2.789621158037944,284.43654938673785,4050.57080078125
-70.37319946289062,-15.783638000488281,10.675511360168457,1,2.0099639892578125,286.44651337599566,3951.539306640625
-70.3395,-15.7994444444444,11.1211111111111,0,4.0944498266335225,290.5409632026292,3924.954345703125
-70.35491943359375,-15.801223754882812,10.608997344970703,1,1.707393048966212,292.2483562515954,3953.9970703125
-70.3366470336914,-15.801223754882812,10.569792747497559,1,2.0099639892578125,294.2583202408532,3924.954345703125
-70.3395,-15.7994444444444,11.1211111111111,0,0.3698579253849247,294.6281781662381,3924.954345703125
-70.3366470336914,-15.801223754882812,10.569792747497559,1,0.3698579253849247,294.998036091623,3924.954345703125
-70.31837463378906,-15.818809509277344,10.291825294494629,1,2.789621158037944,297.787657249661,3981.6455078125
-70.30010223388672,-15.836380004882812,9.632067680358887,1,2.788457505424266,300.57611475508526,4077.95068359375
-70.28182983398438,-15.853965759277344,9.695051193237305,1,2.789621158037944,303.3657359131232,4078.97021484375
-70.28182983398438,-15.871543884277344,6.90997314453125,1,1.93359375,305.2993296631232,4395.4306640625
-70.2635498046875,-15.889122009277344,7.9395670890808105,1,2.7896441332693,308.0889737963925,4266.31591796875
-70.24527740478516,-15.906692504882812,9.176356315612793,1,2.788457505424266,310.8774313018168,4124.181640625
-70.22700500488281,-15.924263000488281,8.849852561950684,1,2.788457505424266,313.66588880724106,4166.1611328125
-70.20873260498047,-15.941841125488281,8.282901763916016,1,2.7890392661546097,316.45492807339565,4238.7705078125
-70.19046020507812,-15.95941162109375,7.56780481338501,1,2.788457505424266,319.2433855788199,4328.22509765625
-70.19046020507812,-15.976982116699219,6.916720390319824,1,1.9327545166015625,321.1761400954215,4397.0380859375
-70.17218780517578,-15.994544982910156,6.52955436706543,1,2.787875875929018,323.9640159713505,4436.115234375
-70.1539077758789,-16.012107849121094,7.152068138122559,1,2.7884809954020793,326.7524969667526,4369.96875
-70.13563537597656,-16.02967071533203,6.420149803161621,1,2.787875875929018,329.54037284268156,4450.48681640625
-70.11736297607422,-16.04723358154297,8.083391189575195,1,2.787875875929018,332.32824871861055,4247.94091796875
-70.09909057617188,-16.064796447753906,10.01540756225586,1,2.787875875929018,335.11612459453954,4000.21142578125
-70.09909057617188,-16.082359313964844,10.155241012573242,1,1.931915283203125,337.04803987774267,3983.6767578125
-70.08081817626953,-16.09991455078125,8.370433807373047,1,2.7872943777510217,339.8353342554937,4215.2138671875
-70.06254577636719,-16.117469787597656,9.677472114562988,1,2.7872943777510217,342.62262863324474,4034.307861328125
-70.04426574707031,-16.135025024414062,10.730926513671875,1,2.7878996234394875,345.41052825668424,3942.83251953125
-70.0458888888889,-16.1359166666667,9.27271062271062,0,0.2037114252221905,345.61423968190644,3942.83251953125
-70.04426574707031,-16.135025024414062,10.730926513671875,1,0.2037114252221905,345.81795110712864,3942.83251953125
-70.0458888888889,-16.1359166666667,9.27271062271062,0,0.2037114252221905,346.02166253235083,3942.83251953125
-70.02599334716797,-16.15258026123047,10.518619537353516,1,2.854723518359364,348.8763860507102,3930.1708984375
-70.02599334716797,-16.170135498046875,10.498331069946289,1,1.9310760498046875,350.8074621005149,3946.109375
-70.00772094726562,-16.18768310546875,9.053044319152832,1,2.786713010972482,353.5941751114874,4120.50390625
-70.00772094726562,-16.205223083496094,8.868691444396973,1,1.9293975830078125,355.5235726944952,4138.12353515625
-69.98944854736328,-16.2227783203125,9.783573150634766,1,2.7872943777510217,358.31086707224625,4024.45166015625
-69.98944854736328,-16.240318298339844,9.897194862365723,1,1.9293975830078125,360.24026465525407,4013.3662109375
-69.97117614746094,-16.25786590576172,9.478955268859863,1,2.786713010972482,363.02697766622657,4091.976318359375
-69.97117614746094,-16.275405883789062,9.152727127075195,1,1.9293975830078125,364.9563752492344,4131.6162109375
-69.95289611816406,-16.292945861816406,9.126590728759766,1,2.786737273867264,367.7431125231017,4140.19921875
-69.95289611816406,-16.31048583984375,9.267049789428711,1,1.9293975830078125,369.6725101061095,4126.22021484375
-69.93462371826172,-16.328025817871094,9.617451667785645,1,2.786131775675653,372.4586418817851,4074.8857421875
-69.93462371826172,-16.345558166503906,10.298853874206543,1,1.928558349609375,374.3872002313945,4013.79345703125
-69.91635131835938,-16.36309051513672,9.206223487854004,1,2.7855506719428416,377.1727509033373,4139.240234375
-69.91635131835938,-16.38062286376953,8.500654220581055,1,1.928558349609375,379.1013092529467,4228.0185546875
-69.89807891845703,-16.398155212402344,7.570361614227295,1,2.7855506719428416,381.8868599248895,4350.5205078125
