Unnamed: 0,est,alt,lon,lat,pr,pr_EXP0,pr_EXP1,pr_EXP2,pr_EXP3,pr_EXP4,pr_EXP5,pr_EXP6,pr_EXP7,pr_EXP8,pr_EXP9,pr_EXP10
114042,MUсNI,3932.0,-69.95180555555554,-14.766944444444444,4.132584269662919,3.632474422454834,3.746222496032715,3.13995099067688,3.101487636566162,3.9311087131500244,3.4370861053466797,7.763699054718018,5.668827056884766,4.2942914962768555,6.264845371246338,5.012607097625732
116029,PIZACOMA,3930.0,-69.36952777777778,-16.90434722222222,4.779120879120878,3.4425933361053467,3.2790639400482178,2.923252582550049,2.7318289279937744,3.229497194290161,2.882634401321411,6.293622016906738,5.350132942199707,3.5276808738708496,4.453212738037109,5.116858005523682
114040,PROGRESO,3925.0,-70.36780555555555,-14.671694444444444,4.832967032967031,5.025116443634033,5.302347660064697,4.10544490814209,4.30888557434082,5.732631206512451,5.0250325202941895,10.599282264709473,7.534737586975098,6.975886344909668,7.127440452575684,6.770599842071533
115046,PUCARA,3877.0,-70.36663888888889,-15.045666666666667,5.580219780219783,2.4508635997772217,2.9425911903381348,2.4274349212646484,2.797581672668457,3.5772485733032227,2.8210716247558594,6.539144515991211,5.210046768188477,6.071788311004639,5.135295867919922,5.616713523864746
114093,PUTINA,3861.0,-69.87569444444443,-14.921,4.396703296703297,2.8925724029541016,2.6698858737945557,2.858459949493408,2.52142333984375,2.9673354625701904,2.5680184364318848,6.370105266571045,5.022146701812744,3.309814691543579,6.104649066925049,4.831141948699951
270200,RAMIS,3826.0,-69.87392777777778,-15.255808333333333,3.551648351648351,2.690197229385376,2.569939136505127,2.5237624645233154,2.2877118587493896,2.5230720043182373,2.2737271785736084,4.850824356079102,3.872276544570923,2.273637533187866,4.695128917694092,3.03851580619812
115140,SANTA_LUCIA,4045.0,-70.5992722222222,-15.694075,4.745054945054945,2.4236831665039062,2.1017560958862305,1.6994270086288452,1.6779624223709106,2.8373007774353027,2.5812928676605225,5.490135669708252,5.2804646492004395,3.39332914352417,4.177072048187256,4.835257053375244
116030,TAHUACO_-_YUNGUYO,3888.0,-69.07472222222222,-16.307833333333335,3.2879120879120887,5.164234161376953,4.29006814956665,4.4761199951171875,4.417222023010254,4.525444507598877,4.103204250335693,7.305175304412842,6.093572616577148,5.477092266082764,6.152802467346191,5.6576738357543945
115047,TARACO,3828.0,-69.97247222222222,-15.311666666666667,3.1670329670329664,2.493163585662842,2.321251392364502,2.0854313373565674,2.200728416442871,2.328190565109253,2.288245439529419,4.755089282989502,3.987377166748047,3.1856937408447266,4.325015068054199,3.091599941253662
472E112A,ILAVE,3850.0,-69.62591666666665,-16.08825,3.0736263736263734,4.759136199951172,4.900912284851074,3.708491325378418,3.3740978240966797,5.089765548706055,4.919196605682373,7.6113080978393555,7.299594402313232,5.535067558288574,7.27441930770874,5.8600053787231445
